Unnamed: 0,Date,User,Tweet
108540,2019-03-30 13:45:45+00:00,RajeshBhatt1602,"#RahulGandhi is 47 years of age  now...

When no one giving him a girl to marry.. how can we give our precious Vote !!!

#PointsToBeNoted
#Election2019"
103454,2019-04-05 09:44:14+00:00,Sarral_Sharma,@fayedsouza Time to have free and open for all debate on the upcoming #LokSabhaElections2019 at the Connaught Place Social.
114720,2019-03-23 19:57:04+00:00,amannick1987,"Who is sponsoring #politicalrallies do u have any idea #india #indianelection2019 #IndiaElects #IndiaElection2019. How much it cost to organise one election rally ?
How much it cost for one election video? #askindia or be dead don’t complaint ?"
121849,2019-03-13 03:36:15+00:00,shubhamr528,@IndiaEci #loksabhaelections2019 #ElectionCommission ECI should ban all politician who are involved in scams like @RahulGandhi who is out on bail for over 500 crore fraud with the indians. @BJP4India
88457,2019-04-19 06:17:31+00:00,aasafali,'Hindu'-'Muslim' Unity and 'Dalit'-'Muslim' unity has existed in one form or the other all the times some way or the other. The important question that needs to be asked is what has been the representation of #Muslims in #LokSabhaElections2019 &amp; how is #Hindutva effecting it.
70208,2019-05-12 04:43:53+00:00,Kaptivated_Indi,"How would you make your mother understand whom to vote??

Well Not the National Security Please!!!

#MothersDay #LokSabhaElections2019 #Phase6 #Haryana"
133228,2019-02-15 18:49:50+00:00,naashonomics,#NarendraModi should create database of #indians married to #pakistan and put them under #surveillance this are their prime access points #KashmirTerrorAttack
64789,2019-01-04 14:58:42+00:00,WohKasam,"BJP is full of drama queens 🙄

#NirmalaSitharaman 
#NarendraModi 
#SmritIirani 
#SushmaSwaraj"
122397,2019-03-12 04:29:39+00:00,av_adh,"@ShefVaidya @RahulGandhi It has become 3% now, who can even think of voting him I really don't understand.
The way he &amp; his party leaders call terrorist as 'Ji', I think All the terrorists are like his brother in-laws
They're the only ones who will vote for #RahulGandhi"
57259,2019-02-01 08:31:50+00:00,RamKailashNath,Huge savings for middle and lower classes. Exactly how a budget should be. And this is just an interim budget. I wonder why @ncbn thinks there is no benefit to AP. R there no middle class people living in AP?😁#Budget2019 #TDP #bjp
50239,2019-02-23 12:57:15+00:00,YashwanthPNaik,"@KirenRijiju Fake word has been invented by #bjp and #ChowkidarHiChorHai, using this invitation they won 2014 election! Now others also copying their invention! But bjp didn't have copy right! 
What a tragedy ! #FakeNews"
44799,2019-03-09 13:19:04+00:00,JaneuUdhari,"@RahulGandhi Forget about this Modi, worry about your real Jijaji and yourself, you out-on-bail fake Gandhi  !! You'll be rotting in jail soon for your corrupt ways, you good-for-nothing, uncouth wastrel  😠😠
#Pappu #RahulGandhi  #NamoAgain #Modi2019Wave"
122550,2019-03-11 18:49:21+00:00,RGspeak,@rohini_sgh And elections have just been announced.... It's a long playfield for him ..... Do expect some more lowering of past records...  He is extremely capable &amp; then there would be enough competition from within his party to challenge him #LokSabhaElections2019
136094,2019-02-06 09:17:24+00:00,iiirdi,@timesofindia @sambitswaraj what's #RahulGandhi saying now is #ApnaTimeAayega but kab nahi pata
131415,2019-02-25 09:04:01+00:00,Subhaji74816514,I follow you because my exam within 1 month...&amp; i wanna chill my mind.. when I here your funny speeches. I really enjoyed it more than kapil Sharma show.. specially  potato to gold machine &amp; etc. Thank you for Release our pressure.. you are really a funy youth lider #Rahulgandhi
121247,2019-03-13 17:35:58+00:00,theswapnilraj,"the only mahagathbandan I care about is the one of me and you!
#Elections2019 
#LokSabhaElections2019 
#ElectionCommission"
23450,2019-04-10 06:18:05+00:00,ndtv,"""A new name has been added to the list of corruptions by Congress...Now a new scam, along with evidence, has been added to the account of Congress leaders - Tughlaq Road Chunavi Ghotala"": PM Modi in Gujarat's Junagadh (ANI)

#ElectionsWithNDTV #LokSabhaElections2019"
49144,2019-02-27 12:03:24+00:00,iindrojit,"Breaking: Indian opposition parties slam PM Modi over escalating tension at the border in the aftermath of #Pulwama In a joint statement, 21 parties expressed ""deep anguish over blatant politicization of the sacrifices made by armed forces"" by leaders of the ruling #BJP"
92717,2019-04-16 09:05:00+00:00,saurabh_dokania,"My vote for Corruption free India, Clean India, Strong India, A New India #modioncemore #Namoagain #loksabhaelections2019"
40866,2019-03-16 07:52:46+00:00,LIKU72,@narendramodi Why bjp don't adopt national flag of India till 52  years of independent of India instate of black flag which idology u prefer sir #bjp #godse #ChowkidarChorHai
31124,2019-03-30 03:52:51+00:00,Ndholiya,"@MrsGandhi @smritiirani @RahulGandhi He can not even make a correct statement, how people can think about him ? . #AbkiBaarPhirModiSarkar #ChowkidarNarendraModi #BJP"
129110,2019-03-01 11:28:35+00:00,HenryPeterjmj23,"@INCIndia @RahulGandhi I hope #Congress will won 380+ seats under #RahulGandhi 
Best wishes for congress @RahulGandhi @INCIndia"
44740,2019-03-09 17:00:58+00:00,vpadke,"What #RahulGandhi crying for plane was hijacked to with 200 people circumstances led to released of Masood, unlike when 55 terrorists were released on the pretext of a fake kidnapping!! Enough is enough.
#Congress #bjp #PMModi #JaiHind"
74417,2019-05-06 01:40:59+00:00,tv9gujarati,Voting begins in 51 Parliamentary constituencies across 7 states for 5th phase of #LokSabhaElections2019 #Phase5 #ElectionsWithTv9
47844,2019-03-02 02:59:59+00:00,gurdeeprekhi,#amarujala printed the names of terrorists with their relationships on #airstrike of #IAF. This is very low graded journalism and playing with the emotions of people without any proof. #IndianMedia have really dropped to the lowest level.salute to Indian forces 🙏🏻🙏🏻aware of #bjp
121323,2019-03-13 15:52:22+00:00,gmalikg212,"Cricket India's humiliation began on the day when they worn the terrorists' caps.  So now Australia has won the series.  Well played Khawaja 
#FreeKashmir
#LokSabhaElections2019
#IndiavsAustralia 
#Pakistan"
57349,2019-02-01 07:23:08+00:00,pkb1988,"Electric vehicles key part of Govt's vision for 2030
#Budget2019 #InterimBudget #UnionBudget #PiyushGoyal #FinanceMinistry #BJP #BudgetSession2019 #EntrepreneurBudget2019"
32196,2019-03-28 09:15:38+00:00,Na_sir106,@ANI @umrj__ Just declare anti national and pro Pakistan who ever raised the questions on #BJP's false claim of 350 deaths. Bakhts manifesto
120005,2019-03-16 09:17:50+00:00,caumangparekh,"Request to #NarendraModi ji, #FinanceMinistry &amp; #ArunJaitley ji with folded hands - Please increase duties on Chinese products to such an extent that they become unviable to be bought in India.We all buy Chinese products as they are cheaper alternatives
#BoycottChineseProducts"
